Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Western Gray Squirrel Project,"Pacific Biodiversity Institute (PBI) is seeking volunteers to assist with state-threatened western gray squirrel surveys in the Methow Watershed during the summer field season During the years of 2010 and 2011, we were fortuNAte to have dozens of volunteers work on the Western Gray Squirrel Project We appreciate our volunteers very much! Our goals for this project are to conduct distribution surveys and relative abundance estimates that will augment work being conducted by WDFW These goals will further scientific knowledge about gray squirrel distributions throughout the Methow Valley Another goal is to outreach to private landowners about western gray squirrel habitat and educate the local community about the about the status, threats and conservation needs of western gray squirrels",Both,North America,NGO,North America,2009,Ongoing,<100 km,Terrestrial,Western gray squirrel,No,NA,NA,Some,"Hair sample, expert present",Some,All,Unknown,Unknown,2010,2012,Adults,Yes,in-person training,in-person,Yes,in-person training,in-person,0,Unknown,NA,http://www.pacificbio.org/helpout/volunteer-western-gray-squirrel.html,Scistarter,2012-02-21
Western Maritime Bryophytes,"For Bryophyte observations in the Maritime West of the North American Continent This includes hornworts, liverworts and mosses",Data,North America,Private,North America,2012,Ongoing,<1000 km,Terrestrial,"Hornworts, liverworts and mosses",No,NA,NA,All,Photo,All,None,3,1,3,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/western-maritime-bryophytes,iNaturalist,2012-05-24
Wetland Bird Survey,"The principal aims of WeBS are to identify population sizes, determine trends in numbers and distribution and to identify important sites for waterbirds
fortunes",Data,Europe,Other,Europe,1993,Ongoing,<1000 km,"Estuarine, marine, terrestrial",Waterbirds,No,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,training session,in-person,Yes,training session,in-person,0,Unknown,NA,http://www.bto.org/volunteer-surveys/webs,Scistarter,2012-04-20
Whales & Glaciers Citizen Science Adventure,"To identify possible ""red tide"" outbreaks, contributing photographs to aid in the identification of area humpback whales and mammals, providing baseline data for several researchers throughout the state of Alaska, and contributing to online citizen science databases utilized by researchers around the country",Both,North America,"NGO, For profit",North America,Unknown,Ongoing,Unknown,"Aquatic,  terrestrial","Phytoplankton, zooplankton, marine mammals, plants",No,Plant phenophases,NA,Some,"Expert present, specimen",Unknown,Unknown,Unknown,Unknown,Unknown,NA,Anyone interested,Yes,briefing and hard copy,combo,Yes,briefing and hard copy,combo,0,Unknown,NA,http://www.stepintoalaska.com/tour_shore_excursion_details.cfm?tourid=researchexploration,Cornell Citizen Science Central,2012-04-27
What lives in the El Cerrito Hillside NAtural Area,"Help us catalog and map plants growing in the El Cerrito Hillside NAtural Area, 90+ acres of urban wilderness ",Data,North America,Unknown,North America,2012,Ongoing,<100 km,Terrestrial,Plants,Yes,NA,NA,All,Photo,All,None,1,1,1,2012,Anyone interested,Yes,online instructions,electronic,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/what-lives-in-the-el-cerrito-hillside-NAtural-area,iNaturalist,2012-05-24
What lives on Albany Hill Cerrito Creek,"This project aims to learn how plants and animals use the ""urban oasis"" of Albany Hill and adjacent Cerrito Creek",Data,North America,Unknown,North America,2012,Ongoing,<10 km,Terrestrial,"Plants, animals",Yes,NA,NA,All,Photo,All,None,3,1,3,2012,Anyone interested,Yes,online instructions,electronic,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/what-lives-on-albany-hillcerrito-creek,iNaturalist,2012-05-24
What's Invasive,"Invasive weeds are a significant threat to NAtive plants and animals Although most non-NAtives are not considered ""invasive"", those that crowd out food sources for wild animals, create erosion, or act as a significant fire hazard can be considered a threat and need to be identified and located for removal You can help!

Then, using your Android mobile phone, help us locate invasive plants in an expanding number of locations across the US, or you can create your own list of plants that you want help in locating",Data,North America,"Academic, Government",Global,Unknown,Ongoing,Unknown,Terrestrial,Plants,Yes,NA,NA,Some,Photo,Some,None,2355,Unknown,Unknown,Unknown,Anyone interested,Yes,online intructions,electronic,Yes,Online intructions,electronic,0,Unknown,NA,http://whatsinvasive.com/,NA,2012-03-05
White Squirrel Mapping,To map the locations of white squirrels,Both,North America,Individual,North America,Unknown,Ongoing,<10000 km,Terrestrial,Squirrels,No,NA,NA,None,NA,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,directions,electronic,Yes,distinguish between albino and white,electronic,0,Unknown,NA,http://www.thewildclassroom.com/biomes/speciesprofile/deciduousforest.html,Scistarter,2012-03-03
Who's Whoo-ing: Study Suburban Owls,"We are enlisting residents from New York's Westchester, PutNAm, and Fairfield Counties as “citizen scientists” to collect data on screech and barred owls in their backyard using “call playback surveys” This data will be used to find out where these owls live, if they co-occur, and what habitats and areas they tend to live in or avoid",Data,North America,Academic,North America,2009,2010,Unknown,Terrestrial,Owls,No,NA,NA,None,NA,Unknown,All,100,1,Unknown,Unknown,Anyone interested,Yes,online intructions,combo,Yes,Online intructions,combo,1,Unknown,NA,http://www.mianus.org/what-we-do/research-and-education/high-school/meet-our-techs/kyle-bardwell/,NA,2012-03-05
Wider Countryside Butterfly Survey,"To maintain and develop a network of transect sites in order to assess and interpret changes in the abundance and status of UK butterflies
    To encourage participation in recording butterfly transects by supporting volunteer recording networks
    To ensure a high level of quality assurance for butterfly transect data by development and promotion of standards, and by applying rigorous data validation and verification procedures
    To secure and maNAge transect monitoring data and provide access to academia, governments, industry and the public subject to approval
    To advance knowledge in butterfly ecology through interpretation of transect monitoring data
    To provide the scientific underpinning for solutions to butterfly conservation issues arising from and habitat and climate change
    To provide the knowledge base, including indicators of change, for government policies addressing environmental issues
    To promote public awareness and understanding of butterflies through communication of the results of the scheme",Both,Europe,NGO,Europe,2009,Ongoing,<10000 km,Terrestrial,Butterflies,No,NA,NA,None,NA,Some,All,1055,2,558,2010,Anyone interested,Yes,"website, in-person if you want to contact them",combo,Yes,online,electronic,1,Unknown,NA,http://www.ukbms.org/wcbs.htm,Scistarter,2012-02-14
Wild River State Park Prairie Care,"Volunteer ""Species Stewards"" adopt one or more species of NAtive prairie or savanNA plants On semi-monthly or more frequent visits, stewards log locations, bloom dates, and seed ripening dates, and collect seed to be used to restore additioNAl prairie on old field sites ",Both,North America,Government,North America,Unknown,Ongoing,Unknown,Terrestrial,Plants,No,"Dropping time of seed, flowering time",,None,NA,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,Yes,online material,electronic,0,Unknown,Curriculum,http://www.dnr.state.mn.us/education/teachers/fieldtrips/wildriver_prairie.html,Cornell Citizen Science Central,2012-05-16
Wildlife Watch,"Wildlife Watch is a national, nature-watching program created for people of all ages. When you record your observations, National Wildlife Federation and Wildlife Watch partners collect and review your findings to track the health and behavior of wildlife and plant species ",Data,North America,NGO,North America,Unknown,Ongoing,<10000 km,"Terrestrial, marine, freshwater",Everything,No,NA,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,Online intructions,electronic,No,NA,NA,0,Unknown,NA,http://www.nwf.org/wildlifewatch/,NA,2012-03-05
Winter Wild Turkey Flock Survey,Monitor trends in relative abundance of turkeys statewide and within major regions of the state This survey helps us assess the general health of the wild turkey population prior to the breeding season in the spring,Data,North America,Government,North America,2005,Ongoing,<1000 km,Terrestrial,Eastern wild turkey (Meleagris gallopavo),No,NA,NA,None,NA,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.dec.ny.gov/animals/48756.html,NA,2012-02-07
Wisconsin Acoustic Bat Monitoring,"Citizen Science Center volunteers assist the Wisconsin Department of NAtural Resources with their Acoustic Bat Monitoring Program, conservation and maNAgement of insectivorous bats",Data,North America,Government,North America,2008,Ongoing,<1000 km,Terrestrial,Bats,No,NA,NA,All,digital recording of bat calls,Some,All,500,5,199,2011,Anyone interested >16 years old,Yes,in-person,in-person,Unknown,NA,NA,0,Unknown,NA,http://wiatri.net/inventory/bats/,Scistarter,2012-02-15
Wisconsin Citizen Lake Monitoring ,"Our goals are to collect high quality data, educate and empower volunteers, and share this data and knowledge",Both,North America,Government,North America,1986,Ongoing,<1000 km,"Terrestrial, freshwater","Plants, zebra mussel",Some,chlorophyll,NA,Unknown,NA,All,Unknown,2400,15,1100,2012,Anyone interested,Yes,workshop and manuals,combo,Unknown,NA,NA,0,Unknown,NA,http://dnr.wi.gov/lakes/CLMN/,EPA,2012-04-11
Wisconsin NatureMapping,"To best maNAge wildlife populations, state biologists need to have as much information about where a species lives (the species distribution) as possible That means they need to know just as much about where species are when they are NOT on public land as when they are And YOU are the critical link to making sure they get that information",Both,North America,Government,North America,2003,Ongoing,<1000 km,"Terrestrial, freshwater","Mammals, birds, amphibians, worms",No,NA,NA,Some,Photo,All,None,4000,34,Unknown,Unknown,Anyone interested,Yes,"in-person, online video",combo,Yes,online links,electronic,0,Unknown,NA,http://www.wisnatmap.org/,Scistarter,2012-02-15
Wisconsin Stream Monitoring,"There are several program goals: that Wisconsin citizens will monitor stream and river health, to support data sharing for educatioNAl purposes,  to provide a network for volunteer groups, individuals, and schools to interact, to provide support for civic conservation and environmental groups, and to help increase linkages between volunteer monitoring efforts and public resources protection programs
",Both,North America,"Academic, Government",North America,1996,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,None,NA,All,Some,Unknown,Unknown,42,2011,"Anyone interested, training required",Yes,"in-person, video and instructions on the web",combo,Yes,online instructions and in-person workshops,combo,0,Unknown,NA,http://watermonitoring.uwex.edu/level2/stream.html,Scistarter,2012-02-15
World Water Monitoring Challenge,World Water Monitoring Challenge™ (WWMC) is an international education and outreach program that builds public awareness and involvement in protecting water resources around the world by engaging citizens to conduct basic monitoring of their local waterbodies,Education,Europe and North America,NGO,Global,2007,Ongoing,>10000 km,Freshwater,Macroinvertebrates,No,NA,NA,None,NA,All,None,Unknown,Unknown,340000,2011,Students,Yes,online or paper manual,electronic,Yes,Online,electronic,0,Unknown,NA,http://www.worldwatermonitoringday.org/default.aspx,EPA,2012-04-13
WV Save Our Streams Program,"WV Save Our Streams trains citizen scientists in West Virginia how to monitor and become watchdogs over their local wadeable streams and rivers The program focuses on a biological approach to stream study, which includes the collection and evaluation of the benthic macroinvertebrate community and an assessment of the stream’s basic physiochemical conditions",Data,North America,Government,North America,Unknown,Ongoing,Unknown,Freshwater,Macroinvertebrates,No,water quality index,NA,All,Expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Middle school to Adults,Yes,"workshops, on-site, electronic",combo,Yes,"workshops, on-site, electronic",combo,0,Unknown,NA,http://www.dep.wv.gov/WWE/getinvolved/sos/Pages/default.aspx,NA,2012-03-05
